scale,class_code,class_name,item_idx,subclass,source_id,eval_mode,prompt_preview,gold,search_status,best_path_json,n_paths_evaluated,n_apply_failures,mean_search_reward,best_search_reward,mean_terminal_entropy_nats,best_terminal_entropy_nats,argmax_token_str,argmax_token_id,next_token_entropy_nats,top5_json,gold_first_token_rank,gold_first_token_prob,wallclock_sec
1B,C1,factual_recall,16,capital,C1_16_capital,first_token_str,Q: What is the capital of Norway? A:,Oslo,ok,"[0.1,0.1,0.1]",27,0,-0.1353759777870885,-0.07727750117481323,1.5922629480008725,0.9089212417602539,Os,29967,0.9089212417602539,"[[""Os"",0.8511061668395996],[""V"",0.026934605091810226],[""St"",0.02321908064186573],[""The"",0.015108947642147541],[""B"",0.012923367321491241]]",0,0.8511061668395996,2.7239603996276855
1B,C1,factual_recall,17,capital,C1_17_capital,first_token_str,Q: What is the capital of Greece? A:,Athens,ok,"[0.5,0.1,0.1]",27,0,-0.10081024473558389,-0.05574630792436916,1.1857082777553134,0.655676007270813,Ath,86340,0.655676007270813,"[[""Ath"",0.8748204708099365],["" Athens"",0.043554745614528656],[""A"",0.038436926901340485],[""The"",0.017597708851099014],[""Th"",0.007335816044360399]]",0,0.8748204708099365,2.673030138015747
1B,C1,factual_recall,18,capital,C1_18_capital,first_token_str,Q: What is the capital of Portugal? A:,Lisbon,ok,"[0.1,0.1,0.1]",27,0,-0.13754995200824077,-0.12032754287152177,1.617832762223703,1.415266513824463,L,43,1.415266513824463,"[[""L"",0.5186517834663391],[""Port"",0.340140163898468],["" Lisbon"",0.050557322800159454],[""The"",0.027487538754940033],[""A"",0.009207169525325298]]",0,0.5186517834663391,2.6874616146087646
1B,C1,factual_recall,19,capital,C1_19_capital,first_token_str,Q: What is the capital of Poland? A:,Warsaw,ok,"[0.1,0.1,0.1]",27,0,-0.15439583560831996,-0.11556901613726653,1.815970398761608,1.359297752380371,Wars,100070,1.359297752380371,"[[""Wars"",0.6773279309272766],[""Pol"",0.08477752655744553],[""W"",0.0759940817952156],[""Kr"",0.051420167088508606],[""The"",0.04398200288414955]]",0,0.6773279309272766,2.7260682582855225
1B,C1,factual_recall,20,capital,C1_20_capital,first_token_str,Q: What is the capital of Turkey? A:,Ankara,ok,"[0.5,0.1,0.1]",27,0,-0.20991164412386953,-0.17006676570196333,2.468935321878504,2.000288486480713,An,2127,2.000288486480713,"[[""An"",0.5570411086082458],[""I"",0.15110145509243011],["" Ankara"",0.05304159224033356],[""The"",0.03451482579112053],[""B"",0.03451482579112053]]",0,0.5570411086082458,2.6648571491241455
1B,C1,factual_recall,21,capital,C1_21_capital,first_token_str,Q: What is the capital of Vietnam? A:,Hanoi,ok,"[1.0,1.0,0.1]",27,0,-0.08734558070262168,-0.07634715092024988,1.0273398138858654,0.897978663444519,H,39,0.897978663444519,"[[""H"",0.8104984164237976],[""Ho"",0.06757745146751404],[""S"",0.03451518714427948],[""Viet"",0.025251848623156548],[""Sa"",0.024095483124256134]]",0,0.8104984164237976,2.905076026916504
1B,C1,factual_recall,22,capital,C1_22_capital,first_token_str,Q: What is the capital of Indonesia? A:,Jakarta,ok,"[0.1,0.5,0.1]",27,0,-0.2059379963305816,-0.18847142952012555,2.4221981366475425,2.2167601585388184,Jak,90372,2.2167601585388184,"[[""Jak"",0.3335866928100586],[""B"",0.2023305594921112],[""Ind"",0.14124949276447296],[""The"",0.11528447270393372],[""J"",0.058881551027297974]]",0,0.3335866928100586,2.7207789421081543
1B,C1,factual_recall,23,capital,C1_23_capital,first_token_str,Q: What is the capital of Kenya? A:,Nairobi,ok,"[1.0,1.0,0.5]",27,0,-0.17751275022493349,-0.17071814162562066,2.0878665447235107,2.0079498291015625,N,45,2.0079498291015625,"[[""N"",0.39522242546081543],[""Ken"",0.25517478585243225],[""J"",0.15237180888652802],[""K"",0.03852562978863716],["" Nairobi"",0.030239112675189972]]",0,0.39522242546081543,2.6936261653900146
1B,C1,factual_recall,24,capital,C1_24_capital,first_token_str,Q: What is the capital of Chile? A:,Santiago,ok,"[0.1,1.0,1.0]",27,0,-0.05597184309725637,-0.0407851780758668,0.658328703156224,0.47970643639564514,S,50,0.47970643639564514,"[[""S"",0.9365333914756775],[""B"",0.00703966012224555],[""R"",0.006823073141276836],[""P"",0.005110245663672686],[""L"",0.00476327259093523]]",0,0.9365333914756775,2.6977715492248535
1B,C1,factual_recall,25,date,C1_25_date,first_token_str,Q: In what year did humans first land on the Moon? A:,1969,ok,"[0.5,0.1,0.1]",27,0,-0.19496000439519517,-0.17976120731723194,2.2930773717385753,2.1143124103546143,July,29527,2.1143124103546143,"[[""July"",0.512592613697052],[""196"",0.08769425004720688],[""December"",0.06937185674905777],[""November"",0.05155279114842415],[""Apollo"",0.04919201508164406]]",1,0.08769425004720688,2.69075870513916
1B,C1,factual_recall,26,date,C1_26_date,first_token_str,Q: In what year did the Berlin Wall fall? A:,1989,ok,"[0.1,0.1,0.1]",27,0,-0.17553895507801484,-0.15810447815170697,2.064651193442168,1.8595906496047974,198,3753,1.8595906496047974,"[[""198"",0.36469924449920654],[""November"",0.3479984402656555],[""The"",0.07409314811229706],[""August"",0.0390443429350853],[""199"",0.03784307464957237]]",0,0.36469924449920654,2.677842855453491
1B,C1,factual_recall,27,date,C1_27_date,first_token_str,Q: In what year did World War I begin? A:,1914,ok,"[1.0,1.0,1.0]",27,0,-0.08976602889058988,-0.06853972613927409,1.0558086015560009,0.806149423122406,World,10343,0.806149423122406,"[[""World"",0.8326873779296875],[""191"",0.10586433112621307],[""It"",0.006559460423886776],[""The"",0.005108513403683901],[""September"",0.003978514112532139]]",1,0.10586433112621307,2.633511781692505
1B,C1,factual_recall,28,date,C1_28_date,first_token_str,Q: In what year did World War I end? A:,1918,ok,"[1.0,1.0,1.0]",27,0,-0.12029824958139955,-0.07382996629263291,1.414921972486708,0.8683720827102661,World,10343,0.8683720827102661,"[[""World"",0.8520247936248779],[""191"",0.04806794226169586],[""The"",0.024937322363257408],[""It"",0.010894310660660267],[""202"",0.005740898195654154]]",1,0.04806794226169586,2.6143062114715576
1B,C1,factual_recall,29,date,C1_29_date,first_token_str,Q: In what year did World War II begin? A:,1939,ok,"[1.0,1.0,0.5]",27,0,-0.1052051224656256,-0.0847225076406378,1.2373998783252858,0.9964877963066101,World,10343,0.9964877963066101,"[[""World"",0.8261277675628662],[""194"",0.04660694673657417],[""193"",0.023804498836398125],[""September"",0.01912745274603367],[""It"",0.006820103153586388]]",2,0.023804498836398125,2.6232845783233643
1B,C1,factual_recall,30,date,C1_30_date,first_token_str,Q: In what year did World War II end? A:,1945,ok,"[0.5,1.0,1.0]",27,0,-0.12707371784074056,-0.09383618094991508,1.494613563572919,1.1036808490753174,World,10343,1.1036808490753174,"[[""World"",0.8038753271102905],[""194"",0.05556587502360344],[""The"",0.03266549110412598],[""September"",0.012593666091561317],[""It"",0.010440515354275703]]",1,0.05556587502360344,2.648571729660034
1B,C1,factual_recall,31,date,C1_31_date,first_token_str,Q: In what year did the French Revolution begin? A:,1789,ok,"[0.1,0.5,1.0]",27,0,-0.13527627038859155,-0.12890996898582704,1.5910902111618608,1.5162111520767212,The,791,1.5162111520767212,"[[""The"",0.6298645734786987],[""178"",0.2109781950712204],[""It"",0.018149256706237793],[""July"",0.01481299102306366],[""179"",0.011902572587132454]]",1,0.2109781950712204,2.6768991947174072
1B,C1,factual_recall,32,date,C1_32_date,first_token_str,Q: In what year did the United States declare independence? A:,1776,ok,"[0.1,0.1,0.1]",27,0,-0.13835742329973877,-0.11039797226432986,1.6273300647735596,1.298477053642273,July,29527,1.298477053642273,"[[""July"",0.5377866625785828],[""177"",0.3211270868778229],[""178"",0.0500219501554966],[""The"",0.04278603941202164],[""December"",0.007671112660318613]]",1,0.3211270868778229,2.6359918117523193
1B,C1,factual_recall,33,date,C1_33_date,first_token_str,Q: In what year was the Magna Carta signed? A:,1215,ok,"[0.1,0.1,0.1]",27,0,-0.27189109203108425,-0.24136224639757486,3.1979241724367493,2.838850498199463,121,7994,2.838850498199463,"[[""121"",0.3982185125350952],[""The"",0.0902538150548935],[""106"",0.07841387391090393],[""126"",0.07719817757606506],[""127"",0.04197192192077637]]",0,0.3982185125350952,2.639392614364624
1B,C1,factual_recall,34,date,C1_34_date,first_token_str,Q: In what year did Christopher Columbus first reach the Americas? A:,1492,ok,"[1.0,0.5,1.0]",27,0,-0.21850827580968143,-0.1928188276527869,2.570047042987965,2.2678933143615723,Christopher,75066,2.2678933143615723,"[[""Christopher"",0.5011905431747437],[""C"",0.10839005559682846],["" Christopher"",0.08310553431510925],[""149"",0.06175879389047623],[""151"",0.04379354044795036]]",3,0.06175879389047623,2.679198741912842
1B,C1,factual_recall,35,date,C1_35_date,first_token_str,Q: In what year did Constantinople fall to the Ottomans? A:,1453,ok,"[0.1,0.5,1.0]",27,0,-0.2726416287974127,-0.2669764988333829,3.206751823425293,3.140119791030884,Constant,15839,3.140119791030884,"[[""Constant"",0.37143635749816895],[""The"",0.18676993250846863],[""In"",0.04872185364365578],[""120"",0.02819804474711418],["" Constantin"",0.02567461133003235]]",18,0.005175520200282335,2.770688772201538
1B,C1,factual_recall,36,date,C1_36_date,first_token_str,Q: In what year did the American Civil War begin? A:,1861,ok,"[1.0,1.0,0.5]",27,0,-0.1693483541056674,-0.16010343438646088,1.9918386847884566,1.8831019401550293,186,9714,1.873559594154358,"[[""186"",0.49810901284217834],[""The"",0.26248499751091003],[""181"",0.04561305418610573],[""178"",0.021546080708503723],[""January"",0.01731276512145996]]",0,0.49810901284217834,2.664644718170166
1B,C1,factual_recall,37,date,C1_37_date,first_token_str,Q: In what year did the American Civil War end? A:,1865,ok,"[0.5,0.1,0.5]",27,0,-0.1274895698708752,-0.12441128112246871,1.4995047251383464,1.4632985591888428,The,791,1.4632985591888428,"[[""The"",0.5512250065803528],[""186"",0.29969584941864014],[""181"",0.027443882077932358],[""It"",0.02275177650153637],[""April"",0.01690768450498581]]",1,0.29969584941864014,2.6643545627593994
1B,C1,factual_recall,38,date,C1_38_date,first_token_str,Q: In what year did the Russian Revolution occur? A:,1917,ok,"[1.0,0.5,0.1]",27,0,-0.09095372510585867,-0.08089917583779142,1.0697780273578785,0.9515185952186584,The,791,0.9515185952186584,"[[""The"",0.8367999196052551],[""191"",0.05875258520245552],[""It"",0.013738609850406647],[""190"",0.0070169949904084206],[""186"",0.005296705756336451]]",1,0.05875258520245552,2.7113776206970215
1B,C1,factual_recall,39,date,C1_39_date,first_token_str,Q: In what year did the September 11 attacks occur? A:,2001,ok,"[0.1,0.1,0.1]",27,0,-0.07939108022645705,-0.058359073566613164,0.9337807010721277,0.6864067912101746,September,30649,0.6864067912101746,"[[""September"",0.8166531920433044],[""The"",0.13541436195373535],[""200"",0.024660788476467133],[""201"",0.005010142922401428],[""October"",0.0027668634429574013]]",2,0.024660788476467133,2.7113707065582275
1B,C1,factual_recall,40,date,C1_40_date,first_token_str,Q: In what year was the first iPhone released? A:,2007,ok,"[0.5,0.1,0.1]",27,0,-0.10758451383792943,-0.1050764697558873,1.265385764616507,1.2358866930007935,200,1049,1.2358866930007935,"[[""200"",0.6852418780326843],[""201"",0.1287531554698944],[""The"",0.09419780969619751],[""September"",0.015138962306082249],[""June"",0.014221739955246449]]",0,0.6852418780326843,2.638728618621826
1B,C1,factual_recall,41,date,C1_41_date,first_token_str,Q: In what year did the Titanic sink? A:,1912,ok,"[0.1,0.1,0.1]",27,0,-0.1910554861539388,-0.17499009253142409,2.2471532733352095,2.0581955909729004,191,7529,2.0581955909729004,"[[""191"",0.3471710681915283],[""The"",0.30162742733955383],[""April"",0.11628773808479309],[""December"",0.05667411535978317],[""201"",0.02219390496611595]]",0,0.3471710681915283,2.630835771560669
1B,C1,factual_recall,42,date,C1_42_date,first_token_str,Q: In what year was the Declaration of Independence signed? A:,1776,ok,"[0.1,0.5,0.1]",27,0,-0.11917256080024885,-0.08568392767944792,1.401681864703143,1.007795810699463,July,29527,1.007795810699463,"[[""July"",0.735833466053009],[""177"",0.15666797757148743],[""The"",0.035507846623659134],[""178"",0.03388182818889618],[""September"",0.008303101174533367]]",1,0.15666797757148743,2.733318328857422
1B,C1,factual_recall,43,date,C1_43_date,first_token_str,Q: In what year did the Soviet Union dissolve? A:,1991,ok,"[0.5,1.0,0.1]",27,0,-0.15011724870396742,-0.14386174647960304,1.7656465857117265,1.692070722579956,The,791,1.692070722579956,"[[""The"",0.6114770174026489],[""199"",0.11135822534561157],[""198"",0.08275440335273743],[""December"",0.04226681590080261],[""November"",0.02859915792942047]]",1,0.11135822534561157,2.7024598121643066
1B,C1,factual_recall,44,date,C1_44_date,first_token_str,Q: In what year did the Wright brothers' first powered flight occur? A:,1903,ok,"[0.1,0.5,0.1]",27,0,-0.18173012738138344,-0.1687924129854461,2.137470421967683,1.985299825668335,December,33246,1.985299825668335,"[[""December"",0.5219100117683411],[""March"",0.13195952773094177],[""July"",0.06953778862953186],[""November"",0.05167609825730324],[""October"",0.04632215201854706]]",15,0.0036282311193645,2.6555471420288086
1B,C1,factual_recall,45,date,C1_45_date,first_token_str,Q: In what year was the United Nations founded? A:,1945,ok,"[1.0,0.5,0.5]",27,0,-0.13041554334564795,-0.12318711844724653,1.5339193918086864,1.4489002227783203,The,791,1.4489002227783203,"[[""The"",0.7000663876533508],[""194"",0.09775117039680481],[""December"",0.04690152779221535],[""January"",0.020489759743213654],[""November"",0.012623372487723827]]",1,0.09775117039680481,2.655940294265747
1B,C1,factual_recall,46,date,C1_46_date,first_token_str,Q: In what year did the Korean War begin? A:,1950,ok,"[0.1,0.5,1.0]",27,0,-0.16475293637184088,-0.15592231610385743,1.9377883761017412,1.8339245319366455,The,791,1.8339245319366455,"[[""The"",0.5931097865104675],[""195"",0.10801331698894501],[""194"",0.05965061113238335],[""June"",0.03732840344309807],[""July"",0.029994213953614235]]",1,0.10801331698894501,2.6272573471069336
1B,C1,factual_recall,47,date,C1_47_date,first_token_str,Q: In what year did Neil Armstrong walk on the Moon? A:,1969,ok,"[0.5,0.1,0.1]",27,0,-0.1462764732866522,-0.11839976689929113,1.7204722166061401,1.392592430114746,July,29527,1.392592430114746,"[[""July"",0.6499850749969482],[""196"",0.15928570926189423],[""Neil"",0.07179570198059082],[""November"",0.017321517691016197],[""December"",0.017052974551916122]]",1,0.15928570926189423,2.6871228218078613
1B,C1,factual_recall,48,date,C1_48_date,first_token_str,Q: In what year did the Chernobyl disaster occur? A:,1986,ok,"[0.5,0.5,0.1]",27,0,-0.09715407943448529,-0.0818520214067034,1.142705252876988,0.9627257585525513,The,791,0.9627257585525513,"[[""The"",0.8382736444473267],[""198"",0.02868414670228958],[""It"",0.020340105518698692],[""April"",0.015595300123095512],[""Ch"",0.015353516675531864]]",1,0.02868414670228958,2.6830708980560303
1B,C1,factual_recall,49,date,C1_49_date,first_token_str,Q: In what year was the printing press invented by Gutenberg? A:,1440,ok,"[1.0,1.0,0.1]",27,0,-0.2720902185348952,-0.2659697182271625,3.2002662552727594,3.1282782554626465,145,9591,3.1282782554626465,"[[""145"",0.2913437783718109],[""The"",0.15964321792125702],[""149"",0.0660313069820404],[""131"",0.051425233483314514],[""132"",0.045738548040390015]]",16,0.008936363272368908,2.6794276237487793
1B,C1,factual_recall,50,arithmetic,C1_50_arithmetic,first_token_str,Q: What is 2 + 3? A:,5,ok,"[0.1,0.1,0.1]",27,0,-0.20389114776621492,-0.17115479093076483,2.398123546882912,2.0130856037139893,5,20,2.0130856037139893,"[[""5"",0.3150056302547455],[""6"",0.23046304285526276],[""2"",0.17670214176177979],[""7"",0.08346818387508392],[""4"",0.05647740140557289]]",0,0.3150056302547455,2.690525770187378
1B,C1,factual_recall,51,arithmetic,C1_51_arithmetic,first_token_str,Q: What is 4 + 5? A:,9,ok,"[0.1,0.1,0.1]",27,0,-0.2434631904749475,-0.17630156074293782,2.8635613476788557,2.0736207962036133,9,24,2.0736207962036133,"[[""9"",0.4615606367588043],[""8"",0.20804166793823242],[""7"",0.0827532634139061],[""10"",0.06860486418008804],[""6"",0.0272891316562891]]",0,0.4615606367588043,2.635995388031006
1B,C1,factual_recall,52,arithmetic,C1_52_arithmetic,first_token_str,Q: What is 6 + 2? A:,8,ok,"[0.1,0.1,0.1]",27,0,-0.17570515046717936,-0.15912138392982844,2.066605947635792,1.871551275253296,6,21,1.871551275253296,"[[""6"",0.3560628294944763],[""8"",0.29518643021583557],[""9"",0.15800192952156067],[""7"",0.05129571259021759],[""12"",0.023854723200201988]]",1,0.29518643021583557,2.6979095935821533
1B,C1,factual_recall,53,arithmetic,C1_53_arithmetic,first_token_str,Q: What is 3 + 4? A:,7,ok,"[0.1,0.1,0.1]",27,0,-0.2136162250367382,-0.17800903567769077,2.5125078007026955,2.0937037467956543,7,22,2.0937037467956543,"[[""7"",0.28933683037757874],[""9"",0.2718068063259125],[""6"",0.13882532715797424],[""3"",0.08420181274414062],[""8"",0.07315580546855927]]",0,0.28933683037757874,2.640687942504883
1B,C1,factual_recall,54,arithmetic,C1_54_arithmetic,first_token_str,Q: What is 7 + 1? A:,8,ok,"[0.1,0.1,0.1]",27,0,-0.13705787571102887,-0.10671830844115988,1.6120450673279938,1.2551976442337036,7,22,1.2551976442337036,"[[""7"",0.5544788241386414],[""8"",0.3310944139957428],[""9"",0.05321171507239342],[""The"",0.00924681220203638],[""Seven"",0.006556971464306116]]",1,0.3310944139957428,2.6633074283599854
1B,C1,factual_recall,55,arithmetic,C1_55_arithmetic,first_token_str,Q: What is 5 + 3? A:,8,ok,"[0.1,0.5,0.1]",27,0,-0.22492698613525614,-0.19600188169336896,2.645542524479054,2.3053317070007324,5,20,2.3053317070007324,"[[""5"",0.3954046666622162],[""7"",0.18102943897247314],[""9"",0.1409858763217926],[""8"",0.06764577329158783],[""6"",0.027331361547112465]]",3,0.06764577329158783,2.650359869003296
1B,C1,factual_recall,56,arithmetic,C1_56_arithmetic,first_token_str,Q: What is 2 + 6? A:,8,ok,"[0.1,0.1,0.1]",27,0,-0.24693147308174654,-0.20713819238269213,2.904354536974872,2.436314582824707,8,23,2.436314582824707,"[[""8"",0.28852415084838867],[""2"",0.23919494450092316],[""4"",0.08138197660446167],[""6"",0.049360666424036026],[""14"",0.04859539866447449]]",0,0.28852415084838867,2.6472792625427246
1B,C1,factual_recall,57,arithmetic,C1_57_arithmetic,first_token_str,Q: What is 1 + 4? A:,5,ok,"[0.1,0.1,0.1]",27,0,-0.20875779870853092,-0.1746211673490452,2.455364041858249,2.053856372833252,1,16,2.053856372833252,"[[""1"",0.4365704655647278],[""5"",0.1907234936952591],[""2"",0.1231403574347496],[""3"",0.03935801982879639],[""9"",0.038147106766700745]]",1,0.1907234936952591,2.6391444206237793
1B,C1,factual_recall,58,arithmetic,C1_58_arithmetic,first_token_str,Q: What is 4 + 4? A:,8,ok,"[0.1,0.1,0.1]",27,0,-0.17649868270821206,-0.09786354662216996,2.0759393020912453,1.1510498523712158,8,23,1.1510498523712158,"[[""8"",0.7727820873260498],[""4"",0.054257821291685104],[""6"",0.04640917479991913],[""9"",0.02603318728506565],[""10"",0.01603858172893524]]",0,0.7727820873260498,2.648444652557373
1B,C1,factual_recall,59,arithmetic,C1_59_arithmetic,first_token_str,Q: What is 6 + 3? A:,9,ok,"[0.1,0.5,0.1]",27,0,-0.19733774446318758,-0.15341396946412603,2.3210438357459173,1.8044219017028809,9,24,1.8044219017028809,"[[""9"",0.47815418243408203],[""6"",0.2480631321668625],[""8"",0.09563685208559036],[""7"",0.04378574341535568],[""3"",0.017969632521271706]]",0,0.47815418243408203,2.6347949504852295
1B,C1,factual_recall,60,arithmetic,C1_60_arithmetic,first_token_str,Q: What is 2 * 3? A:,6,ok,"[0.1,0.5,0.1]",27,0,-0.17864285574773647,-0.1173271270668317,2.1011586012663663,1.3799762725830078,6,21,1.3799762725830078,"[[""6"",0.6180621385574341],[""2"",0.22737234830856323],[""8"",0.040133602917194366],[""9"",0.020498236641287804],[""3"",0.01647079735994339]]",0,0.6180621385574341,2.661397933959961
